State Name,County Name,City Name,Latitude,Longitude,Year,CO,NO2,Temperature,Ozone,PM2.5,Humidity,SO2,Wind Speed
Alabama,Etowah,Gadsden,33.98821,-85.992556,2023,,,,,9.80049877777778,,,
Alabama,Etowah,Gadsden,33.98821,-85.992556,2024,,,,0.0445005,8.677266,,,
Alabama,Etowah,Gadsden,33.98821,-85.992556,2025,,,,0.04240525,8.11618111111111,,,
Alabama,Etowah,Southside,33.904039,-86.053867,2015,,,,0.04046125,,,,
Alabama,Etowah,Southside,33.904039,-86.053867,2016,,,,0.0469675,,,,
Alabama,Etowah,Southside,33.904039,-86.053867,2017,,,,0.0425255,,,,
Alabama,Etowah,Southside,33.904039,-86.053867,2018,,,,0.04291,,,,
Alabama,Etowah,Southside,33.904039,-86.053867,2020,,,,0.037084,,,,
Alabama,Etowah,Southside,33.904039,-86.053867,2021,,,,0.039044,,,,
Alabama,Etowah,Southside,33.904039,-86.053867,2022,,,,0.042096,,,,
Alabama,Etowah,Southside,33.904039,-86.053867,2023,,,,0.044776250000000004,,,,
Alabama,Houston,Dothan,31.188933,-85.423094,2015,,,,0.037237,,,,
Alabama,Houston,Dothan,31.188933,-85.423094,2016,,,,0.03904825,,,,
Alabama,Houston,Dothan,31.188933,-85.423094,2017,,,,0.03634725,,,,
Alabama,Houston,Dothan,31.188933,-85.423094,2018,,,,0.03889575,,,,
Alabama,Houston,Dothan,31.224783,-85.390789,2015,,,,,7.310744,,,
Alabama,Houston,Dothan,31.224783,-85.390789,2016,,,,,7.061538,,,
Alabama,Houston,Dothan,31.224783,-85.390789,2017,,,,,8.609322,,,
Alabama,Houston,Dothan,31.224783,-85.390789,2018,,,,,7.642105,,,
Alabama,Jefferson,Birmingham,33.499722,-86.924167,2015,,,,,10.291948999999999,,,
Alabama,Jefferson,Birmingham,33.499722,-86.924167,2016,,,,,8.964732,,,
Alabama,Jefferson,Birmingham,33.499722,-86.924167,2017,,,,,9.2733195,,,
Alabama,Jefferson,Birmingham,33.499722,-86.924167,2018,,,,,8.984521,,,
Alabama,Jefferson,Birmingham,33.499722,-86.924167,2020,,,,,8.0174745,,,
Alabama,Jefferson,Birmingham,33.499722,-86.924167,2021,,,,,8.6508825,,,
Alabama,Jefferson,Birmingham,33.499722,-86.924167,2022,,,,,7.932786999999999,,,
Alabama,Jefferson,Birmingham,33.499722,-86.924167,2023,,,,,9.716409,,,
Alabama,Jefferson,Birmingham,33.499722,-86.924167,2024,0.2123545,,,0.04463425,8.630261846153847,,0.484638,
Alabama,Jefferson,Birmingham,33.499722,-86.924167,2025,0.1783995,,,0.0379005,7.7726880000000005,,0.7139735999999999,
Alabama,Jefferson,Birmingham,33.521427,-86.844112,2015,0.44217399999999996,20.013051,65.010808,,11.767797,68.485718,,0.656157
Alabama,Jefferson,Birmingham,33.521427,-86.844112,2016,0.442704,21.1165105,66.154656,,10.781667,63.019599,,1.122923
Alabama,Jefferson,Birmingham,33.521427,-86.844112,2017,0.36573,17.423997,65.739254,,10.325455,69.692721,,0.593141
Alabama,Jefferson,Birmingham,33.521427,-86.844112,2018,0.342592,17.405073,64.903612,,10.22459,70.770462,,0.679595
Alabama,Jefferson,Birmingham,33.521427,-86.844112,2020,0.3443855,16.827621,64.327448,,9.898837,67.779791,,1.766534
Alabama,Jefferson,Birmingham,33.521427,-86.844112,2021,0.348503,15.665161000000001,51.814923,,9.546491,66.770774,,1.913563
Alabama,Jefferson,Birmingham,33.521427,-86.844112,2022,0.320905,13.585867,63.571556,,8.816907,59.36708,,7.09548
Alabama,Jefferson,Birmingham,33.521427,-86.844112,2023,0.19602350000000002,14.890289500000002,67.877659,,9.602996333333333,67.068312,,1.867659
Alabama,Jefferson,Birmingham,33.521427,-86.844112,2024,0.18157,18.0889565,67.437231,,9.250553,67.198606,,1.71534
Alabama,Jefferson,Birmingham,33.521427,-86.844112,2025,0.2605715,18.5245325,,,8.310169,,,
Alabama,Jefferson,Birmingham,33.553056,-86.815,2015,0.2247825,15.7280185,65.252318,0.042895749999999996,11.372190519999998,69.793674,1.9221688000000001,5.62444
Alabama,Jefferson,Birmingham,33.553056,-86.815,2016,0.2189325,16.634079,66.470276,0.04651275,10.28900488,64.743646,1.9632314000000002,2.380465
Alabama,Jefferson,Birmingham,33.553056,-86.815,2017,0.3186245,14.843384,65.793122,0.038582000000000005,10.09324876,68.720781,1.810837,3.461036
Alabama,Jefferson,Birmingham,33.553056,-86.815,2018,0.2190625,14.1997415,64.987683,0.0410185,9.92029608,71.515697,1.6137694,3.267823
Alabama,Jefferson,Birmingham,33.553056,-86.815,2020,0.2398165,13.858169,63.828968,0.038815,10.016438,72.04487,1.0395998,3.202855
Alabama,Jefferson,Birmingham,33.553056,-86.815,2021,0.2515685,14.024123,56.061918,0.03866425,9.710714,65.837713,0.9417354,6.692633
Alabama,Jefferson,Birmingham,33.553056,-86.815,2022,0.20268,14.354508,65.273877,0.04200075,8.884541333333333,66.18337,0.41396939999999993,7.021766
Alabama,Jefferson,Birmingham,33.553056,-86.815,2023,0.235222,14.824127,69.121651,0.04462625,9.620383666666667,66.736094,1.3091116,3.490923
Alabama,Jefferson,Birmingham,33.553056,-86.815,2024,0.192602,14.230319000000001,65.730514,0.04258425,10.517237046511628,66.694279,1.2460124000000001,3.470837
Alabama,Jefferson,Birmingham,33.553056,-86.815,2025,0.220059,12.785297,,0.037329,10.142683222222223,,1.6337584,
